"Abilene",32.4545143,-99.7381473
"Akron",41.0804559,-81.5214295
"Albuquerque",35.1055517,-106.6473884
"Alexandria",38.8183429,-77.0820263
"Allen",33.1072239,-96.674676
"Allentown",40.5939656,-75.4781595
"Amarillo",35.1978395,-101.8287459
"Amherst",43.0116389,-78.7571478
"Anaheim",33.836165,-117.889769
"Anchorage",61.177549,-149.2743541
"Ann Arbor",42.2756414,-83.7313328
"Antioch",37.977541,-121.7976176
"Arlington",38.8783374,-77.1007034
"Arvada",39.8097397,-105.1066199
"Athens",33.9495967,-83.3700882
"Atlanta",33.7629088,-84.4226745
"Augusta",33.3655309,-82.0734218
"Aurora",41.763455,-88.290099
"Austin",30.3071816,-97.7559964
"Bakersfield",35.3212129,-119.0182915
"Baltimore",39.3002135,-76.6105159
"Baton Rouge",30.4484535,-91.1258993
"Beaumont",30.0843427,-94.1457737
"Bellevue",47.5978391,-122.1564895
"Berkeley",37.8667016,-122.2990661
"Billings",45.7895184,-108.5498909
"Birmingham",33.5274441,-86.799047
"Boise",43.5984881,-116.2310843
"Boston",42.33196,-71.0201725
"Boulder",40.027443,-105.2517397
"Brandon",27.9359851,-82.2992552
"Bridgeport",41.1873858,-73.1957339
"Brockton",42.082543,-71.0246378
"Broken Arrow",36.0365287,-95.7809963
"Brownsville",26.0183263,-97.4538263
"Buffalo",42.8924919,-78.8596862
"Burbank",34.1889857,-118.3248656
"Cambridge",42.3759674,-71.1182745
"Cape Coral",26.6431192,-81.9973306
"Carlsbad",33.1239089,-117.2828349
"Carrollton",32.9883599,-96.8997702
"Cary",35.7821217,-78.8140795
"Cedar Rapids",41.9670481,-91.6777599
"Centennial",39.5905678,-104.8691178
"Chandler",33.2828736,-111.8549429
"Charleston",32.8179219,-79.9589267
"Charlotte",35.2087069,-80.8307389
"Chattanooga",35.0664635,-85.2470649
"Chesapeake",36.6793761,-76.3017884
"Chicago",41.8375511,-87.6818441
"Chico",39.7551592,-121.818797
"Chula Vista",32.6276701,-117.0151695
"Cincinnati",39.1399019,-84.5064465
"Clarksville",36.5664303,-87.3452162
"Clearwater",27.9794747,-82.7662648
"Cleveland",41.4781381,-81.6794861
"Clovis",36.8289335,-119.6866523
"College Station",30.588623,-96.2960096
"Colorado Springs",38.8672553,-104.760749
"Columbia",39.201146,-76.8590498
"Columbus",32.510197,-84.874946
"Concord",35.3920479,-80.6355434
"Coral Springs",26.2707826,-80.2592915
"Corona",33.862352,-117.5638573
"Corpus Christi",27.742857,-97.401927
"Costa Mesa",33.6659055,-117.9123358
"Dallas",32.794176,-96.7655033
"Daly City",37.7009406,-122.4649783
"Davenport",41.5541036,-90.6039968
"Davie",26.0791425,-80.2850284
"Dayton",39.7773943,-84.1996317
"Dearborn",42.3130574,-83.2114879
"Denton",33.2151391,-97.1416867
"Denver",39.7618487,-104.8806251
"Des Moines",41.5739461,-93.616708
"Detroit",42.3830375,-83.1022365
"Downey",33.9382375,-118.1308561
"Durham",35.9809638,-78.9056471
"East Los Angeles",34.0315059,-118.1685666
"Edinburg",26.3143923,-98.1631962
"Edison",40.5039907,-74.3494113
"El Cajon",32.801659,-116.9604818
"Elgin",42.0396386,-88.3217094
"Elizabeth",40.6662613,-74.19353
"Elk Grove",38.4144235,-121.3849366
"El Monte",34.0746329,-118.0291358
"El Paso",31.8483598,-106.426979
"Enterprise",36.0181935,-115.2153733
"Escondido",33.1336477,-117.073223
"Eugene",44.0567484,-123.1162068
"Evansville",37.9877339,-87.534703
"Everett",48.0032673,-122.1742234
"Fairfield",38.256757,-122.039719
"Fargo",46.8652063,-96.8290052
"Fayetteville",35.0851098,-78.9802627
"Federal Way",47.3088368,-122.336104
"Fontana",34.108793,-117.4626845
"Fort Collins",40.5482164,-105.0648327
"Fort Lauderdale",26.141305,-80.143896
"Fort Wayne",41.0881729,-85.14388
"Fort Worth",32.7795423,-97.3463354
"Fremont",37.4943734,-121.9411173
"Fresno",36.7826736,-119.794492
"Frisco",33.1510284,-96.8192633
"Fullerton",33.8857143,-117.9280246
"Gainesville",29.6788314,-82.345878
"Garden Grove",33.7787816,-117.9604719
"Garland",32.9098261,-96.6303571
"Gilbert",33.3102088,-111.7421907
"Glendale",34.1813929,-118.2458301
